rank,name,group,gender,type
170,혜빈,모모랜드,Female,Solo
171,제인,모모랜드,Female,Solo
172,나윤,모모랜드,Female,Solo
173,아인,모모랜드,Female,Solo
174,주이,모모랜드,Female,Solo
175,낸시,모모랜드,Female,Solo
176,송하영,프로미스나인,Female,Solo
177,박지원,프로미스나인,Female,Solo
178,미연,아이들,Female,Solo
179,한동,드림캐쳐,Female,Solo
180,유현,드림캐쳐,Female,Solo
181,다미,드림캐쳐,Female,Solo
182,가현,드림캐쳐,Female,Solo
183,하슬,ARTMS,Female,Solo
184,김립,ARTMS,Female,Solo
185,진솔,ARTMS,Female,Solo
186,최리,ARTMS,Female,Solo
187,조유리,,Female,Solo
188,최예나,,Female,Solo
189,수민,STAYC,Female,Solo
190,시은,STAYC,Female,Solo
191,아이사,STAYC,Female,Solo
192,세은,STAYC,Female,Solo
193,윤,STAYC,Female,Solo
194,재이,STAYC,Female,Solo
195,나띠,KISS OF LIFE,Female,Solo
196,진현주,유니스,Female,Solo
197,민영,브브걸,Female,Solo
198,은지,브브걸,Female,Solo
199,유나,브브걸,Female,Solo
200,김다연,Kep1er,Female,Solo
201,수현,Billlie,Female,Solo
202,션,Billlie,Female,Solo
203,시윤,Billlie,Female,Solo
204,하루나,Billlie,Female,Solo
205,가을,IVE,Female,Solo
206,규진,NMIXX,Female,Solo
207,샤나,라필루스,Female,Solo
208,유에,라필루스,Female,Solo
209,베시,라필루스,Female,Solo
210,서원,라필루스,Female,Solo
211,하은,라필루스,Female,Solo
212,민지,뉴진스,Female,Solo
213,다니엘,뉴진스,Female,Solo
214,혜인,뉴진스,Female,Solo
215,수아,첫사랑,Female,Solo
216,금희,첫사랑,Female,Solo
217,시현,첫사랑,Female,Solo
218,서연,첫사랑,Female,Solo
219,유나,첫사랑,Female,Solo
220,두나,첫사랑,Female,Solo
221,예함,첫사랑,Female,Solo
222,정혜린,트리플에스,Female,Solo
223,김유연,트리플에스,Female,Solo
224,김나경,트리플에스,Female,Solo
225,공유빈,트리플에스,Female,Solo
226,윤서연,트리플에스,Female,Solo
227,이지우,트리플에스,Female,Solo
228,김채연,트리플에스,Female,Solo
229,김수민,트리플에스,Female,Solo
230,카에데,트리플에스,Female,Solo
231,서다현,트리플에스,Female,Solo
232,라미,BABYMONSTER,Female,Solo
233,쥴리,KISS OF LIFE,Female,Solo
234,벨,KISS OF LIFE,Female,Solo
235,하늘,KISS OF LIFE,Female,Solo
236,코토네,트리플에스,Female,Solo
237,니엔,트리플에스,Female,Solo
238,박소현,트리플에스,Female,Solo
239,신위,트리플에스,Female,Solo
240,마유,트리플에스,Female,Solo
241,윤아,아일릿,Female,Solo
242,민주,아일릿,Female,Solo
243,모카,아일릿,Female,Solo
244,린,트리플에스,Female,Solo
245,주빈,트리플에스,Female,Solo
246,정하연,트리플에스,Female,Solo
247,오윤아,유니스,Female,Solo
248,코토코,유니스,Female,Solo
249,임서원,유니스,Female,Solo
250,메이,리센느,Female,Solo
251,원이,리센느,Female,Solo
252,리브,리센느,Female,Solo
253,제나,리센느,Female,Solo
254,미나미,리센느,Female,Solo
255,쵸단,QWER,Female,Solo
256,시연,QWER,Female,Solo
257,마젠타,QWER,Female,Solo
258,지연,트리플에스,Female,Solo
259,서아,트리플에스,Female,Solo
